ID,year,source,era
Chella,,unknown,Unknown
Chett,299.0,died,ASOIAF main
Cheyk,,unknown,Unknown
Chezdhar_zo_Rhaezn,,unknown,Unknown
Chiggen,298.0,died,ASOIAF main
Childer,,unknown,Unknown
Chiswyck,299.0,died,ASOIAF main
Choq_Choq,,unknown,Unknown
Lord_Chyttering_(father_of_Lucos),299.0,died,ASOIAF main
Cissy,,unknown,Unknown
Clarence_Cargyll,,unknown,Unknown
Clarence_Charlton,,unknown,Unknown
Clarence_Crabb,,unknown,Unknown
Clarence_Crabb_(Short),,unknown,Unknown
Clarent_Crakehall,130.0,died,Fire & Blood
Clarice_Osgrey,,unknown,Unknown
Clarisse_Dayne,,unknown,Unknown
Clayton_Suggs,,unknown,Unknown
Clegane_(father_of_Gregor_and_Sandor),,unknown,Unknown
Clegane_(founder),,unknown,Unknown
Clegg,,unknown,Unknown
Clement,300.0,died,ASOIAF main
Clement_Celtigar,130.0,event:Dance of the Dragons,Fire & Blood
Clement_Crabb,129.0,died,Fire & Blood
Clement_Piper,,unknown,Unknown
Cleoden_I_Durrandon,,unknown,Unknown
Cleon,300.0,died,ASOIAF main
Cleon_the_Second,300.0,died,ASOIAF main
Cleos_Frey,299.0,died,ASOIAF main
Cletus_Yronwood,300.0,died,ASOIAF main
Cley_Cerwyn,299.0,died,ASOIAF main
Cleyton_Caswell,,unknown,Unknown
Clifford_Conklyn,,unknown,Unknown
Clifford_Swann,300.0,book_mention,ASOIAF main
Clubfoot_Karl,300.0,died,ASOIAF main
Clydas,270.0,born+30,Late Targaryen
Coals,,unknown,Unknown
Cohollo,299.0,died,ASOIAF main
Coldhands,,unknown,Unknown
Colemon,,unknown,Unknown
Colen_of_Greenpools,,unknown,Unknown
Colin_Florent,,unknown,Unknown
Collio_Quaynis,130.0,event:Dance of the Dragons,Fire & Blood
Colloquo_Votar,,unknown,Unknown
Colmar_Frey,318.0,born+30,Unknown
Conn,299.0,died,ASOIAF main
Conwy,,unknown,Unknown
Coratt,,unknown,Unknown
Lady_Corbray,313.0,born+30,Unknown
Lord_Corbray_(father_of_Lyonel),298.0,died,ASOIAF main
Corenna_Swann,249.0,died,Mid-Targaryen
Corliss_Penny,,unknown,Unknown
Corlos,,unknown,Unknown
Corlys_Velaryon,132.0,died,Fire & Blood
Corlys_Velaryon_(son_of_Daemon),48.0,died,Targaryen Conquest
Corsair_king,,unknown,Unknown
Cortnay_Penrose,299.0,died,ASOIAF main
Corwin_Rogers,,unknown,Unknown
Corwyn_Corbray,135.0,died,Fire & Blood
Corwyn_Velaryon,90.0,died,Fire & Blood
Coryanne_Martell,162.0,born+30,Fire & Blood
Coryanne_Wylde,65.0,born+30,Fire & Blood
Cosgrove,,unknown,Unknown
Cossomo,,unknown,Unknown
Lord_Costayne_(Daeron_II),212.0,died,Mid-Targaryen
Lord_Costayne_(Aerys_I),196.0,event:Blackfyre Rebellion,Fire & Blood
Cotter_Pyke,,unknown,Unknown
Courtenay_Greenhill,,unknown,Unknown
Crackbones,0.0,event:Aegon's Conquest,Pre-Conquest
Craghas_Drahar,108.0,died,Fire & Blood
Craghorn_Hoare,,unknown,Unknown
Cragorn,300.0,died,ASOIAF main
Crake_the_Boarkiller,,unknown,Unknown
Craster,299.0,died,ASOIAF main
Crawn,,unknown,Unknown
Cregan_Karstark,279.0,born+30,Late Targaryen
Cregan_Stark,209.0,died,Mid-Targaryen
Cregard_Stark,238.0,born+30,Mid-Targaryen
Creighton_Longbough,279.0,born+30,Late Targaryen
Creighton_Redfort,,unknown,Unknown
Cressen,299.0,died,ASOIAF main
Lord_Cressey,,unknown,Unknown
Crey,,unknown,Unknown
Creylen,,unknown,Unknown
Crispian_Celtigar,,unknown,Unknown
Criston_Cole,130.0,died,Fire & Blood
Criston_Wylde,,unknown,Unknown
Cromm,300.0,died,ASOIAF main
Lord_Commander_Crowl,,unknown,Unknown
Cuger,,unknown,Unknown
Culiper,54.0,died,Fire & Blood
Cutjack,,unknown,Unknown
Cynthea_Frey,320.0,born+30,Unknown
Cyrelle_Tarbeck,271.0,born+30,Late Targaryen
Cyrenna_Swann,258.0,died,Late Targaryen
Daario_Naharis,310.0,born+30,Unknown
Dacey_Mormont,299.0,died,ASOIAF main
Dacks,,unknown,Unknown
Daegon_Shepherd,,unknown,Unknown
Daella_Targaryen_(daughter_of_Jaehaerys_I),82.0,died,Fire & Blood
Daella_Targaryen_(daughter_of_Maekar_I),229.0,born+30,Mid-Targaryen
Daemion_Velaryon,,unknown,Unknown
Daemion_Targaryen,-23.0,born+30,Pre-Conquest
Daemon_I_Blackfyre,196.0,died,Fire & Blood
Daemon_II_Blackfyre,219.0,died,Mid-Targaryen
Daemon_III_Blackfyre,236.0,died,Mid-Targaryen
Daemon_Blackfyre_(cousin_of_Maelys_I),258.0,died,Late Targaryen
Daemon_Sand,305.0,born+30,ASOIAF main
Daemon_Targaryen,130.0,died,Fire & Blood
Daemon_Velaryon,-2.0,died,Pre-Conquest
Daemon_Velaryon_(son_of_Aethan),89.0,died,Fire & Blood
Daena_(mummer),,unknown,Unknown
Daena_Targaryen,172.0,died,Fire & Blood
Daenaera_Velaryon,150.0,died,Fire & Blood
Daenerys_Targaryen_(daughter_of_Jaehaerys_I),60.0,died,Fire & Blood
Daenerys_Targaryen_(daughter_of_Aegon_IV),202.0,born+30,Mid-Targaryen
Daenerys_Targaryen,314.0,born+30,Unknown
Daenora_Targaryen,232.0,died,Mid-Targaryen
Daeron_I_Targaryen,161.0,died,Fire & Blood
Daeron_II_Targaryen,209.0,died,Mid-Targaryen
Daeron_Targaryen_(son_of_Viserys_I),130.0,died,Fire & Blood
Daeron_Targaryen_(son_of_Maekar_I),233.0,died,Mid-Targaryen
Daeron_Targaryen_(son_of_Aegon_V),251.0,died,Late Targaryen
Daeron_Targaryen_(son_of_Aerys_II),269.0,died,Late Targaryen
Daeron_Vaith,,unknown,Unknown
Daeron_Velaryon,133.0,died,Fire & Blood
Daeryssa,,unknown,Unknown
Dafyn_Vance,,unknown,Unknown
Dagmer,,unknown,Unknown
Dagon_Codd,300.0,died,ASOIAF main
Dagon_Ironmaker,,unknown,Unknown
Dagon_Greyjoy,259.0,died,Late Targaryen
Dagon_Greyjoy_(Drunkard),,unknown,Unknown
Dagos_Manwoody,,unknown,Unknown
Dake,209.0,died,Mid-Targaryen
Dake_(Guard),,unknown,Unknown
Dalbridge,299.0,died,ASOIAF main
Droopeye_Dale,,unknown,Unknown
Dale_Drumm,,unknown,Unknown
Dale_Seaworth,299.0,died,ASOIAF main
Dalla,300.0,died,ASOIAF main
Dalla_(Dragonstone),,unknown,Unknown
Dalton_Greyjoy,133.0,died,Fire & Blood
Damion_Lannister,303.0,born+30,ASOIAF main
Damon_Dance-for-Me,,unknown,Unknown
Damon_Darry,,unknown,Unknown
Damon_Hightower,,unknown,Unknown
Damon_Lannister_(lord),210.0,died,Mid-Targaryen
Damon_Lannister_(son_of_Jason),274.0,born+30,Late Targaryen
Damon_Marbrand,,unknown,Unknown
Damon_Morrigen,42.0,died,Targaryen Conquest
Damon_Paege,,unknown,Unknown
Damon_Shett,,unknown,Unknown
Damon_Teague,-400.0,died,Pre-Conquest
Damon_Vypren,314.0,born+30,Unknown
Dan,,unknown,Unknown
Dancy,,unknown,Unknown
Danelle_Lothston,233.0,died,Mid-Targaryen
Dannel,,unknown,Unknown
Danny_Flint,,unknown,Unknown
Danos_Slynt,,unknown,Unknown
Danwell_Frey,291.0,born+30,Robert's Reign
Dareon,300.0,died,ASOIAF main
Darke_(Seven_Swords),,unknown,Unknown
Lord_Darklyn_(father_of_Jonquil_Darke),50.0,died,Fire & Blood
Darla_Deddings,130.0,event:Dance of the Dragons,Fire & Blood
Darlessa_Marbrand,304.0,born+30,ASOIAF main
Darnold_Darry,,unknown,Unknown
Darnold_Arryn,54.0,died,Fire & Blood
Lord_Darry_(Dance),130.0,died,Fire & Blood
Lord_Darry_(father_of_Raymun),298.0,died,ASOIAF main
Daryn_Hornwood,299.0,died,ASOIAF main
Daughter_of_the_captain_of_the_Myraham,,unknown,Unknown
Daughter_of_the_Dusk,,unknown,Unknown
Daven_Lannister,302.0,born+30,ASOIAF main
Davos_the_Dragonslayer,,unknown,Unknown
Davos_Baratheon,,unknown,Unknown
Davos_Darklyn,43.0,died,Targaryen Conquest
Davos_Dayne,,unknown,Unknown
Davos_Deddings,130.0,died,Fire & Blood
Davos_Seaworth,290.0,born+30,Robert's Reign
Lord_Dayne_(father_of_Edric),295.0,died,Robert's Reign
Deana_Hardyng,,unknown,Unknown
Lady_Deddings,299.0,died,ASOIAF main
Lord_Deddings,299.0,died,ASOIAF main
Del,299.0,died,ASOIAF main
Delena_Florent,,unknown,Unknown
Della_Frey,326.0,born+30,Unknown
Dellono,,unknown,Unknown
Delonne_Allyrion,282.0,born+30,Late Targaryen
Delp,299.0,died,ASOIAF main
Demon_of_Darry,,unknown,Unknown
Denestan,,unknown,Unknown
Dennet,,unknown,Unknown
Dennis_Plumm,,unknown,Unknown
Dennis_the_Lame,45.0,event:Faith Militant,Targaryen Conquest
Dennis_Whitfield,,unknown,Unknown
Denyo_Terys,317.0,born+30,Unknown
Silver_Denys,129.0,died,Fire & Blood
Denys_Arryn,283.0,died,Robert's Reign
Denys_Darklyn,277.0,died,Late Targaryen
Denys_Drumm,,unknown,Unknown
Denys_Harte,,unknown,Unknown
Denys_Mallister,275.0,born+30,Late Targaryen
Denys_Oakheart,,unknown,Unknown
Denys_Redwyne,,unknown,Unknown
Denys_Snow,43.0,died,Targaryen Conquest
Denys_Strong,130.0,event:Dance of the Dragons,Fire & Blood
Denys_Swann,94.0,born+30,Fire & Blood
Denys_Woodwright,130.0,died,Fire & Blood
Denyse_Hightower,,unknown,Unknown
Denzo_D'han,,unknown,Unknown
Deremond,,unknown,Unknown
Deria_Martell,49.0,died,Targaryen Conquest
Dermot_of_the_Rainwood,,unknown,Unknown
Derrick_Darry,130.0,died,Fire & Blood
Derrick_Fossoway,,unknown,Unknown
Desmera_Redwyne,313.0,born+30,Unknown
Desmond_(Grand_Maester),44.0,died,Targaryen Conquest
Desmond,298.0,died,ASOIAF main
Desmond_Darry,,unknown,Unknown
Desmond_Grell,270.0,born+30,Late Targaryen
Desmond_Mallister,,unknown,Unknown
Desmond_Redwyne,,unknown,Unknown
Devan_Seaworth,317.0,born+30,Unknown
Devyn_Sealskinner,,unknown,Unknown
Deziel_Dalt,,unknown,Unknown
Dhako,,unknown,Unknown
Dhazzar,,unknown,Unknown
Fletcher_Dick,,unknown,Unknown
Yellow_Dick,300.0,died,ASOIAF main
Dick_Bean,42.0,died,Targaryen Conquest
Dick_Cole,130.0,event:Dance of the Dragons,Fire & Blood
Dick_Crabb,300.0,died,ASOIAF main
Dick_Follard,299.0,died,ASOIAF main
Dick_Straw,,unknown,Unknown
Dickon_Flowers,42.0,died,Targaryen Conquest
Dickon_Frey,324.0,born+30,Unknown
Dickon_Manwoody,,unknown,Unknown
Dickon_Morrigen,-2.0,died,Pre-Conquest
Dickon_Tarly,320.0,born+30,Unknown
Dirk,300.0,died,ASOIAF main
Dobber,299.0,died,ASOIAF main
Dogkiller,,unknown,Unknown
Dolf,,unknown,Unknown
Domeric_Bolton,297.0,died,Robert's Reign
Donal_Noye,300.0,died,ASOIAF main
Lord_Dondarrion_(father_of_Simon),61.0,died,Fire & Blood
Lord_Dondarrion_(father_of_Manfred),209.0,died,Mid-Targaryen
Donel_Greyjoy,292.0,born+30,Robert's Reign
Donella_Hornwood,299.0,died,ASOIAF main
Doniphos_Paenymion,,unknown,Unknown
Donnel_Arryn,196.0,event:Blackfyre Rebellion,Fire & Blood
Donnel_Drumm,,unknown,Unknown
Donnel_Flint,,unknown,Unknown
Donnel_Haigh,313.0,born+30,Unknown
Donnel_Hightower,59.0,died,Fire & Blood
Donnel_Hill,,unknown,Unknown
Donnel_Locke,299.0,died,ASOIAF main
Donnel_of_Duskendale,,unknown,Unknown
Donnel_Swann,300.0,event:War of the Five Kings,ASOIAF main
Donnel_Waynwood,307.0,born+30,ASOIAF main
Donnis,,unknown,Unknown
Donnor_Stark,226.0,died,Mid-Targaryen
Donnor_Saltcliffe,300.0,event:War of the Five Kings,ASOIAF main
Dontos_Hollard,300.0,died,ASOIAF main
Donyse,,unknown,Unknown
Doran_Martell,277.0,born+30,Late Targaryen
Dorcas,,unknown,Unknown
Dorden_the_Dour,,unknown,Unknown
Dorea_Sand,321.0,born+30,Unknown
Doreah,299.0,died,ASOIAF main
Dorian_Hightower,,unknown,Unknown
Dormund,300.0,died,ASOIAF main
Dorna_Swyft,291.0,born+30,Robert's Reign
Dornish_Dilly,299.0,died,ASOIAF main
Doro_Golathis,,unknown,Unknown
Dorren_Stark,,unknown,Unknown
Doshi,,unknown,Unknown
Blind_Doss,,unknown,Unknown
Drako_Rogare,,unknown,Unknown
Draper's_wife,,unknown,Unknown
Draqaz,,unknown,Unknown
Drazenko_Rogare,135.0,died,Fire & Blood
Drennan,299.0,died,ASOIAF main
Drinkwater_twins,,unknown,Unknown
Drogo,299.0,died,ASOIAF main
Drox_the_Corpse-Maker,,unknown,Unknown
Drunken_Daughter,,unknown,Unknown
Druselka,,unknown,Unknown
Dryn,320.0,born+30,Unknown
Dudley,298.0,died,ASOIAF main
Dunaver,,unknown,Unknown
Duncan_the_Tall,259.0,died,Late Targaryen
Duncan_Liddle,,unknown,Unknown
Duncan_Strong,130.0,event:Dance of the Dragons,Fire & Blood
Duncan_Targaryen,259.0,died,Late Targaryen
Dunsen,,unknown,Unknown
Dunstan_Drumm,242.0,born+30,Mid-Targaryen
Dunstan_Pryor,,unknown,Unknown
Duram_Bar_Emmon,314.0,born+30,Unknown
Duran,300.0,died,ASOIAF main
Durran,,unknown,Unknown
Durran_II_Durrandon,,unknown,Unknown
Durran_Durrandon_(Bronze-Axe),,unknown,Unknown
Durran_Durrandon_(the_Dour),,unknown,Unknown
Durran_Durrandon_(the_Ravenfriend),,unknown,Unknown
Durran_Durrandon_(the_Young),,unknown,Unknown
Durran_Durrandon_(the_Fair),,unknown,Unknown
Durran_X_Durrandon,,unknown,Unknown
Durran_XI_Durrandon,,unknown,Unknown
Durran_XXI_Durrandon,,unknown,Unknown
Durran_XXIV_Durrandon,,unknown,Unknown
Durran_the_Third,,unknown,Unknown
Durwald_I_Durrandon,,unknown,Unknown
Dusky_woman,,unknown,Unknown
Dwarf_brother,300.0,died,ASOIAF main
Dwarf_juggler,300.0,died,ASOIAF main
Dyah,,unknown,Unknown
Dyanna_Dayne,209.0,died,Mid-Targaryen
Dykk_Harlaw,299.0,died,ASOIAF main
Dywen,,unknown,Unknown
Dywen_Shell,,unknown,Unknown
Earl_Harlaw,300.0,died,ASOIAF main
Easy,299.0,died,ASOIAF main
Ebben,299.0,died,ASOIAF main
Ebrose,,unknown,Unknown
Eddara_Tallhart,319.0,born+30,Unknown
Eddard_Karstark,299.0,died,ASOIAF main
Eddard_Stark,299.0,died,ASOIAF main
Edderion_Stark,,unknown,Unknown
Eddison_Peake_(the_Elder),,unknown,Unknown
Eddison_Peake_(the_Younger),,unknown,Unknown
Eddison_Tollett,,unknown,Unknown
Eden_Risley,,unknown,Unknown
Edgar_Yronwood,273.0,died,Late Targaryen
Edgar_Sloane,,unknown,Unknown
Edgerran,,unknown,Unknown
Edgerran_Oakheart,,unknown,Unknown
Edmund_Ambrose,,unknown,Unknown
Edmund_Blackwood,317.0,born+30,Unknown
Edmund_Breakstone,,unknown,Unknown
Edmund_Gardener,-2.0,died,Pre-Conquest
Edmund_Warrick,,unknown,Unknown
Edmund_Waxley,,unknown,Unknown
Edmure_Tully,304.0,born+30,ASOIAF main
Edmure_Tully_(father_of_Axel),,unknown,Unknown
Edmyn_Tully,0.0,event:Aegon's Conquest,Pre-Conquest
Edric_Dayne,317.0,born+30,Unknown
Edric_Stark,101.0,died,Fire & Blood
Edric_Stark_(son_of_Cregan),209.0,died,Mid-Targaryen
Edric_Storm,317.0,born+30,Unknown
Edrick_Stark,,unknown,Unknown
Edwell_Celtigar,59.0,died,Fire & Blood
Edwyd_Fossoway,299.0,died,ASOIAF main
Edwyle_Stark,262.0,died,Late Targaryen
Edwyn_Frey,309.0,born+30,ASOIAF main
Edwyn_Osgrey,196.0,died,Fire & Blood
Edwyn_Stark,,unknown,Unknown
Edwyn_Tarth,,unknown,Unknown
Edyth,59.0,died,Fire & Blood
Egbert,,unknown,Unknown
Eggon,,unknown,Unknown
Eglantine,,unknown,Unknown
Egon_Emeros,,unknown,Unknown
Eladon_Goldenhair,300.0,died,ASOIAF main
Elaena_Targaryen,220.0,died,Mid-Targaryen
Elaena_Targaryen_(daughter_of_Gaemon),-50.0,born+30,Pre-Conquest
Elbert_Arryn,282.0,died,Late Targaryen
Elder_Brother_(Quiet_Isle),285.0,born+30,Robert's Reign
Elderly_man,300.0,died,ASOIAF main
Eldiss,299.0,died,ASOIAF main
Eldon_Estermont,262.0,born+30,Late Targaryen
Eldred_Codd,,unknown,Unknown
Eldric_Arryn,134.0,died,Fire & Blood
Eleanor_Mooton,316.0,born+30,Unknown
Elenda_Caron,127.0,born+30,Fire & Blood
Elenei,,unknown,Unknown
Lord_Elesham,,unknown,Unknown
Eleyna_Westerling,317.0,born+30,Unknown
Elia_Martell,283.0,died,Robert's Reign
Elia_Sand,315.0,born+30,Unknown
Elinda_Massey,130.0,event:Dance of the Dragons,Fire & Blood
Elinor_Costayne,58.0,born+30,Fire & Blood
Elinor_Massey,151.0,born+30,Fire & Blood
Elinor_Tyrell,316.0,born+30,Unknown
Elissa_Farman,59.0,born+30,Fire & Blood
Elkin,,unknown,Unknown
Ella_Broome,,unknown,Unknown
Ella_Lannister,291.0,born+30,Robert's Reign
Ellard_Stark,121.0,died,Fire & Blood
Ellard_Crane,94.0,born+30,Fire & Blood
Ellaria_Sand,,unknown,Unknown
Ellendor,258.0,died,Late Targaryen
Ellery_Vance,,unknown,Unknown
Ellyn_Baratheon,159.0,born+30,Fire & Blood
Ellyn_Caron,49.0,died,Targaryen Conquest
Ellyn_Ever_Sweet,,unknown,Unknown
Ellyn_Reyne,261.0,died,Late Targaryen
Elmar_Frey,320.0,born+30,Unknown
Elmo_Tully,131.0,died,Fire & Blood
Elric_Stark,126.0,died,Fire & Blood
Elron,,unknown,Unknown
Elston_Tully,-400.0,died,Pre-Conquest
Elwood,299.0,died,ASOIAF main
Elwood_Blackbar,,unknown,Unknown
Elwood_Harte,,unknown,Unknown
Elwood_Meadows,308.0,born+30,ASOIAF main
Elyana_Vypren,313.0,born+30,Unknown
Elyas_Willum,,unknown,Unknown
Elyas_Scales,,unknown,Unknown
Elyn_Norridge,,unknown,Unknown
Elys_Arryn,91.0,born+30,Fire & Blood
Elys_Waynwood,281.0,born+30,Late Targaryen
Elys_Westerling,,unknown,Unknown
Elysar,97.0,died,Fire & Blood
Elza,294.0,died,Robert's Reign
Emberlei_Frey,326.0,born+30,Unknown
Emerick_Peake,,unknown,Unknown
Emma,290.0,born+30,Robert's Reign
Emmett,,unknown,Unknown
Emmon_Cuy,299.0,died,ASOIAF main
Emmon_Frey,267.0,born+30,Late Targaryen
Emmond,,unknown,Unknown
Emory_Hill,130.0,died,Fire & Blood
Emphyria_Vance,,unknown,Unknown
Emrick,,unknown,Unknown
Endehar,,unknown,Unknown
Endrew_Tarth,299.0,died,ASOIAF main
Enger,,unknown,Unknown
Eon,,unknown,Unknown
Eon_Hunter,299.0,died,ASOIAF main
Erena_Glover,327.0,born+30,Unknown
Erich_Durrandon_(Kin-Killer),,unknown,Unknown
Erich_III_Durrandon,,unknown,Unknown
Erich_VII_Durrandon,,unknown,Unknown
Erich_Hoare,,unknown,Unknown
Erich_I_Greyiron,,unknown,Unknown
Erich_V_Harlaw,,unknown,Unknown
Erik_Ironmaker,241.0,born+30,Mid-Targaryen
Ermesande_Hayford,328.0,born+30,Unknown
Ernest_Dabell,,unknown,Unknown
Eroeh,299.0,died,ASOIAF main
Erreck,,unknown,Unknown
Erreg,,unknown,Unknown
Erren_Florent,300.0,book_mention,ASOIAF main
Errok,,unknown,Unknown
Errold_Stark,256.0,born+30,Late Targaryen
Erryk_(guard),,unknown,Unknown
Erryk_Cargyll,129.0,died,Fire & Blood
Erwin_Lannister,133.0,died,Fire & Blood
Esgred,,unknown,Unknown
Essie,130.0,died,Fire & Blood
Estermont_(cousin_of_Robert),292.0,born+30,Robert's Reign
Ethan_Glover,283.0,died,Robert's Reign
Eunuch_strangler,,unknown,Unknown
Euron_Greyjoy,298.0,born+30,ASOIAF main
Eustace_(Braavos),,unknown,Unknown
Eustace_(Dance_of_the_Dragons),130.0,event:Dance of the Dragons,Fire & Blood
Eustace_Brune,,unknown,Unknown
Eustace_Hightower,71.0,born+30,Fire & Blood
Eustace_Hunter,,unknown,Unknown
Eustace_Osgrey,219.0,died,Mid-Targaryen
Evlyn,,unknown,Unknown
Eyron,,unknown,Unknown
Eyron_Stark,,unknown,Unknown
Ezzara,,unknown,Unknown
Ezzelyno,,unknown,Unknown
Faezhar_zo_Faez,,unknown,Unknown
Falena_Stokeworth,155.0,born+30,Fire & Blood
Falia_Flowers,311.0,born+30,Unknown
Falyse_Stokeworth,300.0,died,ASOIAF main
Farlen,299.0,died,ASOIAF main
Lord_Farman_(father_of_Lysa),133.0,died,Fire & Blood
Fat_fellow,,unknown,Unknown
Fearless_Ithoke,,unknown,Unknown
Lady_Fell,129.0,died,Fire & Blood
Lord_Fell,282.0,died,Late Targaryen
Silveraxe_Fell,283.0,event:Robert's Rebellion,Robert's Reign
Fergon_Hoare,,unknown,Unknown
Fern,,unknown,Unknown
Ferny,,unknown,Unknown
Ferrego_Antaryon,,unknown,Unknown
Ferret,,unknown,Unknown
Ferris_Fowler,,unknown,Unknown
Fingers_(ironman),,unknown,Unknown
First_King,,unknown,Unknown
Flement_Brax,308.0,born+30,ASOIAF main
Florence_Fossoway,,unknown,Unknown
Lord_Florent,,unknown,Unknown
Florian_the_Fool,,unknown,Unknown
Florian_Greysteel,130.0,event:Dance of the Dragons,Fire & Blood
Florian_V_Mooton,,unknown,Unknown
Floris_Baratheon,134.0,died,Fire & Blood
Florys_the_Fox,,unknown,Unknown
Fogo,298.0,died,ASOIAF main
Lord_Follard,,unknown,Unknown
Fomas,,unknown,Unknown
Lord_Footly,130.0,died,Fire & Blood
Forley_Prester,,unknown,Unknown
Fornio,,unknown,Unknown
Forrest_Frey,130.0,died,Fire & Blood
Foss_the_Archer,,unknown,Unknown
Fossoway_twins,,unknown,Unknown
Fralegg,,unknown,Unknown
Franklyn_Farman,88.0,died,Fire & Blood
Franklyn_Flowers,,unknown,Unknown
Franklyn_Fowler,,unknown,Unknown
Franklyn_Frey,196.0,event:Blackfyre Rebellion,Fire & Blood
Fredo_Rogare,,unknown,Unknown
Frenken,,unknown,Unknown
Frenya,300.0,died,ASOIAF main
Lady_Frey_(wife_of_Ambrose_Butterwell),226.0,born+30,Mid-Targaryen
Lord_Frey,252.0,died,Late Targaryen
Frynne,,unknown,Unknown
Fulk_the_Flea,,unknown,Unknown
Gael_Targaryen,99.0,died,Fire & Blood
Gaemon_Palehair,135.0,died,Fire & Blood
Gaemon_Targaryen_(son_of_Aenar),-101.0,died,Pre-Conquest
Gaemon_Targaryen_(son_of_Jaehaerys_I),73.0,died,Fire & Blood
Gage,,unknown,Unknown
Galazza_Galare,247.0,born+30,Mid-Targaryen
Galbart_Glover,300.0,book_mention,ASOIAF main
Galendro,,unknown,Unknown
Galeo,,unknown,Unknown
Galladon_of_Morne,,unknown,Unknown
Galladon_Tarth,284.0,died,Robert's Reign
Gallard,,unknown,Unknown
Galon_Whitestaff,,unknown,Unknown
Galt,,unknown,Unknown
Galtry_the_Green,,unknown,Unknown
Galyeon_of_Cuy,,unknown,Unknown
Gared,298.0,died,ASOIAF main
Gareth_(maester),,unknown,Unknown
Gareth_Clifton,,unknown,Unknown
Gareth_II_Gardener,,unknown,Unknown
Gareth_Long,,unknown,Unknown
Gareth_the_Grey,196.0,event:Blackfyre Rebellion,Fire & Blood
Gareth_Tyrell,,unknown,Unknown
Gargon_Qoherys,37.0,died,Targaryen Conquest
Garibald,,unknown,Unknown
Garibald_Grey,130.0,died,Fire & Blood
Garibald_of_the_Seven_Stars,42.0,died,Targaryen Conquest
Garibald_Shells,,unknown,Unknown
Garigus,283.0,died,Robert's Reign
Garin_(orphan),,unknown,Unknown
Garin_the_Great,-700.0,died,Pre-Conquest
Gariss,,unknown,Unknown
Garizon,,unknown,Unknown
Garlan_Tyrell,307.0,born+30,ASOIAF main
Garland_II_Gardener,,unknown,Unknown
Garland_VI_Gardener,,unknown,Unknown
Garmon_Hightower,10.0,died,Targaryen Conquest
Garmund_Hightower,157.0,born+30,Fire & Blood
Garon_Baratheon,73.0,died,Fire & Blood
Garrett_Flowers,,unknown,Unknown
Garrett_Greenspear,,unknown,Unknown
Garrett_Paege,,unknown,Unknown
Garrick_Hall,130.0,event:Dance of the Dragons,Fire & Blood
Garris_the_Grey,,unknown,Unknown
Garrison_Fowler,,unknown,Unknown
Garrison_Prester,,unknown,Unknown
Garse,,unknown,Unknown
Garse_Flowers,,unknown,Unknown
Garse_VII_Gardener,,unknown,Unknown
Garse_Goodbrook,299.0,died,ASOIAF main
Garth_of_Greenaway,300.0,died,ASOIAF main
Garth_the_Gardener,,unknown,Unknown
Garth_III_Gardener,,unknown,Unknown
Garth_V_Gardener,,unknown,Unknown
Garth_VI_Gardener,,unknown,Unknown
Garth_VII_Gardener,,unknown,Unknown
Garth_IX_Gardener,,unknown,Unknown
Garth_X_Gardener,,unknown,Unknown
Garth_XI_Gardener,,unknown,Unknown
Garth_XII_Gardener,,unknown,Unknown
Garth_Greenfield,,unknown,Unknown
Garth_Greenhand,,unknown,Unknown
Garth_Greyfeather,300.0,died,ASOIAF main
Garth_the_Harelip,130.0,died,Fire & Blood
Garth_Hightower,,unknown,Unknown
Garth_of_Oldtown,299.0,died,ASOIAF main
Garth_Oldflowers,,unknown,Unknown
Garth_Tyrell,,unknown,Unknown
Garth_(Wolf's_Den),,unknown,Unknown
Gascoyne_of_the_Greenblood,,unknown,Unknown
Gaven_Greywolf,,unknown,Unknown
Gavin_the_Trader,,unknown,Unknown
Gawen,42.0,died,Targaryen Conquest
Gawen_Corbray,,unknown,Unknown
Gawen_Gardener,-2.0,died,Pre-Conquest
Gawen_Glover,325.0,born+30,Unknown
Gawen_Swann,182.0,born+30,Fire & Blood
Gawen_Westerling,300.0,event:War of the Five Kings,ASOIAF main
Gawen_Wylde,283.0,died,Robert's Reign
Gedmund_Peake,,unknown,Unknown
Gella,,unknown,Unknown
Gelmarr,299.0,died,ASOIAF main
Gendel,300.0,event:War of the Five Kings,ASOIAF main
Gendry,314.0,born+30,Unknown
Gendry's_mother,300.0,event:War of the Five Kings,ASOIAF main
Genna_Lannister,275.0,born+30,Late Targaryen
Geoff,,unknown,Unknown
George_Graceford,130.0,event:Dance of the Dragons,Fire & Blood
Gerald_Gower,,unknown,Unknown
Gerardys,130.0,died,Fire & Blood
Geremy_Frey,299.0,died,ASOIAF main
Gerion_Lannister,291.0,died,Robert's Reign
Germund_Botley,,unknown,Unknown
Gerold,,unknown,Unknown
Gerold_Dayne,304.0,born+30,ASOIAF main
Gerold_Grafton,,unknown,Unknown
Gerold_Grafton_(king),,unknown,Unknown
Gerold_Hightower,283.0,died,Robert's Reign
Gerold_Lannister,244.0,died,Mid-Targaryen
Gerold_Lannister_(king),,unknown,Unknown
Gerold_II_Lannister,,unknown,Unknown
Gerold_III_Lannister,,unknown,Unknown
Gerold_Templeton,94.0,born+30,Fire & Blood
Gerren,,unknown,Unknown
Gerrick_Kingsblood,,unknown,Unknown
